term,diff
ukraine,-0.024632809646004266
ukrainian,-0.01301431658563886
war,-0.011081990719125499
life,-0.010669231501835349
poland,-0.010175459654248474
refugee,-0.00996299306540494
world,-0.008076245750865945
peace,-0.008010999151057754
ukrainians,-0.007919272867682726
russian,-0.0055910119294322845
man,-0.00557416013238614
russia,-0.00555506387521554
human,-0.005495438447419708
family,-0.0053751891698497105
black,-0.005339146350067442
woman,-0.005236964097674046
home,-0.00514659721875557
people,-0.005081307016997723
child,-0.00449896437360643
heart,-0.004043283042805608
putin,-0.003982874946135573
love,-0.003965384646352213
help,-0.0038903773290188287
humanity,-0.0038256167379081534
land,-0.0036393668587117317
woman child,-0.003524918259890713
ukrainian people,-0.003512631139415209
white,-0.0034737938729320532
europe,-0.0034556153644684294
russians,-0.003450315074665457
racism,-0.0032535112269498944
student,-0.0032523136150299117
native,-0.003212573779633783
race,-0.003010952905289066
prayer,-0.0029614247276665553
people ukraine,-0.002876709815552986
polish,-0.002847033316977409
racist,-0.002815461970946345
nato,-0.0027491514907660307
color,-0.0027011149421582647
year,-0.0025600032855205134
brother,-0.002559216785129214
culture,-0.0024890327804478526
muslim,-0.002471387915064276
india,-0.002388559411128331
mother,-0.0023387832370291807
european,-0.0022912535981454716
brave,-0.0022418794785884935
equal,-0.0021615351946202193
strong,-0.0021114843443516703
society,-0.0021013793820605486
african,-0.0020864611476635268
poor,-0.0020453584660797904
asylum,-0.0020375750871807156
time,-0.0019778436312826303
problem,-0.0019337367705625635
eu,-0.001906789003114519
black people,-0.0019054601380361223
god ukraine,-0.0018971863250288026
religion,-0.001804304270319795
soldier,-0.0017919235276366325
victim,-0.0017280648820772733
blessing,-0.0016844532237767717
africa,-0.0016662736456926255
indian,-0.0016651476778708112
discrimination,-0.0016641328408986142
happy,-0.0016628803428990213
ukraine people,-0.0016442653460890266
soul,-0.0016410363740515304
priority,-0.001625606263794629
allah,-0.0015854567494225924
muslims,-0.001545702762185412
people world,-0.0015231258736237907
asian,-0.0014908736618404162
kid,-0.0014803338314954423
ukranian,-0.0014445742169064315
brother sister,-0.0014041477580984457
innocent,-0.0013996409975375883
sister,-0.0013964563582906466
friend,-0.001376030630487884
able,-0.0013742958498379526
high,-0.0013641288190246292
community,-0.001362268017286836
skin,-0.0013559832896888472
africans,-0.0013526900915739515
opportunity,-0.0013517688791808307
russian people,-0.001339626160325566
beautiful,-0.0013252248895477782
heaven,-0.0013120118857546047
irish,-0.001295902687858933
white people,-0.0012833921185089762
diversity,-0.0012470532858818823
immigrant,-0.0012328452313348495
equality,-0.0012314870930167305
support,-0.0012169755129289152
mexico,-0.0012049479533505845
fight,-0.00120002355488914
resource,-0.0011911197107147622
indigenous,-0.0011882332683010371
good,-0.0011835355165856851
people war,-0.0011743918040370957
situation,-0.001156343224994039
safe,-0.0011385259639884382
weapon,-0.0011262575635607877
person,-0.001121465742091206
refuge,-0.0011162025677741473
glory,-0.0011138492980949538
ancestor,-0.0011099155780008177
age,-0.0010948811186792416
group,-0.0010928254339815794
mercy,-0.0010784094072462684
native americans,-0.0010708860924289593
slava,-0.0010686372991616096
possible,-0.001064531835498419
mom,-0.0010635336080989219
rich,-0.0010612359402729997
ur,-0.0010554615924509218
chance,-0.001053813781649157
mexican,-0.001047105752293557
slave,-0.0010322426021780002
violence,-0.001030223285748697
today,-0.0010060220479898199
eastern,-0.0010010251879339488
empathy,-0.0009999358488084681
australia,-0.0009997368034390418
denmark,-0.0009974836341117268
polish people,-0.0009952686145291603
immigration,-0.0009921150953685416
refugee country,-0.000991948740059656
south,-0.0009852799400997818
similar,-0.0009840425272755002
zelensky,-0.0009796624565368767
ukraine god,-0.0009741713545906589
hungary,-0.0009639880550307981
kind,-0.0009618606288478988
man ukraine,-0.0009476235171961051
poles,-0.0009445219283218679
glad,-0.0009316030107000279
ukrainian refugee,-0.0009311895088002076
islam,-0.0009302133066179001
ukraine country,-0.0009209225474677599
repent,-0.0009203678727491794
syria,-0.0009202694836684908
democracy,-0.0009128636457534549
space,-0.0009066633557015106
end,-0.0009059138682629177
nationality,-0.0009005844674486688
ukrainian man,-0.0008863475052343752
damn,-0.0008830686047147341
neighbour,-0.0008802478007378897
germany,-0.0008692972625620211
skill,-0.0008657972164302807
wage,-0.000859890982438753
living,-0.0008584734773437274
lady,-0.000850448509069536
civilian,-0.0008491866669957668
canada,-0.0008438133005774372
resident,-0.0008431413499020065
dream,-0.0008361314892662253
western,-0.0008289571349088335
israel,-0.0008196570527086393
animal,-0.0008195605336449383
jews,-0.0008156686635347566
west,-0.0008097661495785657
god poland,-0.0008019703234592898
god ukrainian,-0.0007999194442365534
alive,-0.0007978231410636539
thought,-0.0007967386566243269
pole,-0.0007958148055547371
coward,-0.0007882596917532678
different,-0.0007723486517727742
world ukraine,-0.0007713348794205387
people home,-0.0007620235933331176
doctor,-0.0007616439768807497
foreigner,-0.0007606087523520495
weak,-0.0007601539104995689
home country,-0.0007531667094673826
population,-0.0007529458414732584
ireland,-0.0007508413163818471
poverty,-0.000749728397612291
history,-0.0007438374317450477
ukranians,-0.0007397460898076788
north,-0.0007388681786211854
majority,-0.0007380730066314746
welcome,-0.0007330906443886679
colour,-0.0007317743362632672
struggle,-0.0007212512430466708
medical,-0.0007202689446462791
story,-0.0007179062966397648
economic,-0.0007176295014747588
education,-0.0007166210806030127
humanitarian,-0.0007154180217364826
new,-0.0007124141727546983
minority,-0.0007079957388509352
innocent people,-0.0007048923766755205
uk,-0.0007037946608360383
century,-0.0006927618893805606
pet,-0.000686876203226932
lot,-0.0006854825519340651
people life,-0.0006841181693812735
ukraine man,-0.0006824511334135343
smart,-0.0006821664195945166
god people,-0.0006817392945530228
father,-0.0006785879495193265
train,-0.000673789128245919
benefit,-0.0006732800924639177
europeans,-0.000670018796226041
shelter,-0.0006696167391361278
human right,-0.0006679314616556343
racial,-0.0006661413437908052
birthday,-0.0006643624182207827
east,-0.0006638280590056553
tragedy,-0.0006617933443051721
language,-0.0006599651815592852
long,-0.0006568873598821629
homeland,-0.0006535996387394493
case,-0.0006500381670811273
troop,-0.0006474214145627613
slava ukraini,-0.0006471078724536272
ukraini,-0.0006471078724536272
afghans,-0.000637664277118548
kindness,-0.0006371664341896009
english,-0.0006338187519326411
ppl,-0.0006309543690991501
army,-0.0006304932021484505
big,-0.0006260559910206205
healthy,-0.0006258478436483722
worth,-0.0006253880797657414
ukraine poland,-0.0006241494528980098
homeless,-0.00062216874185636
ukraine russia,-0.0006213396637154483
black man,-0.0006170610498304877
status,-0.0006168252503185506
plenty,-0.0006165480037258263
behavior,-0.0006121659660649068
romania,-0.0006109994753358115
new home,-0.0006064791599127475
baby,-0.0006052166692477067
john,-0.0006040537898294983
christians,-0.0006021060516221218
need,-0.0006011506258231385
change,-0.0006005072282657356
strength,-0.0005982004171313133
man war,-0.0005967756689209183
international,-0.0005929833097775233
russian soldier,-0.000590265685881435
zone,-0.0005896878798505074
door,-0.0005880954186134817
type,-0.0005878170585768316
nurse,-0.0005842194654598974
war country,-0.0005798981110819955
volunteer,-0.0005767376607929131
conflict,-0.0005762960373884471
ukraine ukraine,-0.0005724398015835941
comment,-0.0005688979673903007
tear,-0.0005630570963326906
neighbor,-0.000555606919507987
people poland,-0.0005545927097837682
street,-0.000551648683731926
authority,-0.0005486747294244237
hard,-0.0005461639117091141
brown,-0.0005453747227096774
angel,-0.000544819694094201
easy,-0.0005445742677329744
people god,-0.0005422636122950004
victory,-0.0005407501833153854
central,-0.0005400850952445338
healthcare,-0.0005380891203867705
poor people,-0.0005302470815095523
thousand,-0.0005287061738346013
country home,-0.0005282740881940495
pain,-0.0005256288646458008
faith,-0.0005229834367187301
gas,-0.0005163148218762415
latinos,-0.0005155595161482044
country country,-0.0005140212507157056
issue,-0.0005127427989081901
country ukraine,-0.0005107365631639108
earth,-0.0005104968483253302
ass,-0.0005079571568320793
effort,-0.0005062424414101739
citizenship,-0.0005054890150829592
continent,-0.0005031864518122017
planet,-0.0005026396033250143
housing,-0.0005009057456248206
american dream,-0.0004984350414685469
hand,-0.0004965845269607496
fair,-0.0004957061443916874
alot,-0.0004935893549205146
dont,-0.0004929669822356685
holy,-0.0004901701648371779
citizen ukraine,-0.0004900549105170648
girl,-0.0004891536660544815
video,-0.0004884925560174697
respect,-0.0004876832990012986
decent,-0.0004870092767926892
union,-0.0004863204651716689
america land,-0.0004848427208819241
pray,-0.00048373267472812603
indians,-0.0004834555181867955
wish,-0.0004827293879930186
place,-0.00048079893625037643
unborn,-0.00047599452989799374
past,-0.00047520173839612784
food,-0.00047426698873698084
heritage,-0.00047310023084614684
sorry,-0.00047253680841108305
blood,-0.00047244039146647433
war people,-0.00046825786455688233
freedom,-0.0004668800468470794
treatment,-0.00046492697806117356
death,-0.0004640788956888379
quality,-0.0004622617076340611
china,-0.00046192304506227427
young,-0.0004617707638927969
country war,-0.0004586869102964519
jesus christ,-0.0004540051834792491
dead,-0.0004480886814860692
sky,-0.0004461778994802168
arm,-0.0004430446550756324
standard,-0.000439359288680022
feeling,-0.0004389358242224591
ground,-0.00043798936764765663
slavery,-0.0004352774782228416
nice,-0.0004342193265708431
supply,-0.00043284298217605155
land free,-0.0004303392448050808
son,-0.00042935256206376774
migrant,-0.00042524825557814614
ukraine war,-0.0004226769808294557
global,-0.00041959848433887785
way life,-0.00041836989288924044
thing,-0.00041337460563094664
nazi,-0.00041175645623694096
child elderly,-0.0004105131082225307
wonderful,-0.00041019373608431936
experience,-0.00040797442905255566
russia ukraine,-0.0004076953283600284
crisis,-0.0004051910700268999
fascist,-0.0004036980122882126
special,-0.00040358768134103053
late,-0.00040142563494412523
bit,-0.0003991380653073804
car,-0.000396167459710462
mankind,-0.0003936505557761777
iraq,-0.00038982562603222677
basic,-0.0003892312150560512
sex,-0.00038907567966991975
single,-0.0003890697358809271
aid,-0.0003879072036689775
cross,-0.00038767562644070186
people good,-0.00038380235182276627
pro,-0.0003803644530816348
lesson,-0.00038022003757166135
lack,-0.00037992992536212556
political,-0.0003792467838607868
world war,-0.0003762370778006947
civilized,-0.000372458651645602
human race,-0.0003723813827855067
france,-0.000371769071266353
value,-0.0003697243280245924
tribe,-0.0003656407226207268
hate,-0.00036545034848480077
north america,-0.0003637351217224589
individual,-0.00036345347454015025
woman man,-0.00036322102319582075
condition,-0.0003621944371673939
opinion,-0.00036125823749041475
elderly,-0.0003604597731586127
war ukraine,-0.00035706723491822
territory,-0.0003530238807108625
view,-0.0003525583945958774
ethnic,-0.0003515056815437605
rest,-0.0003477164102567744
root,-0.0003402736613639383
average,-0.0003393788222259505
disabled,-0.00033501267642009657
difference,-0.0003311492856297784
boy,-0.0003292803070795797
nations,-0.00032627829421702997
normal,-0.0003223281613373044
charity,-0.000321434786704609
compassion,-0.00032041604068514884
room,-0.0003186552597261379
homeless veteran,-0.0003134537950198998
right country,-0.00031314024676034106
battle,-0.0003104630137367372
form,-0.00030898965147497495
country citizen,-0.00030804031212905815
sad,-0.0003070181362958568
burden,-0.00030594882400533055
country good,-0.00030201197973219514
god mercy,-0.00029600453953619593
